Contract,,,,,,,,,,,,,,,,,,,,,,,,
Contract Name,Contract No.,Contract Status,Contract Type,Vendor(Vendor)_Vendor ID,Contract Document Code,Phase,City,Department ID,Contract Total Amount,Approved Job Orders Total,Not-Yet Approved Job Orders Total,Available Amount,NTP Date Construction/Sign Date Design,Award Date (Construction) / Sign Date (Design),Contract Duration,Revised Timeline,State_State,Contract(Master Contract)_Contract No.,Project Names,Type of Service,Project Delivery Method,Encumbrance/Not to Exceed (MA),Award Date,Award Date_Award Date
C10469 Rio Salado Pathway Segment 3 Ty Lin,CT-F165-16000121,Approved,Design Professional Services Contract,CNV78840,CT,104 - Construction,Palatine,F920,36169.05,0,0,36169.05,05/02/2016 00:00:00,05/02/2016 00:00:00,200,201,IL,,Rio Salado Pathway Segment 3,Professional Service,,0,,
CP0556 Royal Palms Drainage Improvements Talis Job Order,DO-F165-16008991,Approved,Job Order,CNV570044,DO,118 - Grant - Construction,Tempe,F165,218982.62,0,0,218982.62,,05/19/2016 00:00:00,45,0,AZ,MA-F165-13000770Y4,"Royal Palms, Royal Palms Grant",Construction,Job Order Contracting (JOC),218982.62,,
Master On-Call RENEWAL: General Engineering: Ritoch-Powell,MA-F165-19000013R1,Approved,Design Professional Master Contract,CNV159158,MA,102 - Design,Phoenix,F165,1000000,0,0,1000000,08/15/2019 00:00:00,08/19/2019 00:00:00,365,366,AZ,,,Professional Service,NA,0,,
CP0474-002 Main & Lindsay Sewer Replacement Michael Baker International Inc,DO-F165-16003873,Approved,Project Order,VS0000003462,DO,102 - Design,Pittsburgh,F165,159576.2,0,0,159576.2,,,0,0,PA,MA-F165-15000128R1,"CON - Main and Lindsay Sewer Line - FUNDING ONLY, DES - Main and Lindsay Sewer Line - FUNDING ONLY, Sewer Line Rehab Main and Lindsay",Professional Service,,159576.2,,
JOC-G15 Job Order Master Agreement Core,MA-F165-16000372,Approved,Job Order Master,VS0000002305,MA,104 - Construction,Phoenix,F165,5000000,35072,61020,4903908,04/28/2016 00:00:00,04/28/2016 00:00:00,364,365,AZ,,,Construction,Job Order Contracting (JOC),0,,
CP0770 MFAC - HVAC DESIGN IMEG,DO-F165-18002023,Approved,Project Order,VS0000010148,DO,102 - Design,Rock Island,F165,28808,0,0,28808,,12/27/2016 00:00:00,409,0,IL,MA-F165-17000060R1,"HVAC Improvments at MFAC, MFAC HVAC and Roof Replacement - FUNDING ONLY",Professional Service,NA,28808,,
CP0746 Falcon Tech Center Saemisch + Di Bella,DO-F165-17003335,Approved,Project Order,CNV380229,DO,102 - Design,Mesa,F165,26842,0,0,26842,11/07/2016 00:00:00,,0,0,AZ,MA-F165-15000246R1,Environmental Assessment for Falcon Tech Center (was CP0398),Professional Service,NA,0,,
Transfer Station No. 3 Upgrade C10392 Garney Companies,CT-F165-17000080,Approved,Construction Services Contract for Design-Bid-Build Projects,CNV390275,CT,104 - Construction,Kansas City,F165,5769345.4,0,0,5769345.4,11/02/2016 00:00:00,09/12/2016 00:00:00,250,448,MO,,Transfer Station 3 Improvements,Construction,Design Bid Build (DBB),0,09/12/2016 00:00:00,
Soils and Construction Materials Sampling & Testing - Wood,DO-F165-TIMESHEETWOOD,Closed,Design Professional Services Contract,CNV339393,DO,,Chicago,F165,250000,0,0,250000,,,0,0,IL,,On-Call Mat Lab Wood Environment &amp; Infrastructure Solutions Inc.,Professional Service,NA,0,,
CP0034 Brown Rd WTP Improvements AJ Roberts Industrial DBB Contract,CT-F165-17000059,Approved,Construction Services Contract for Design-Bid-Build Projects,CNV108839,CT,104 - Construction,Chandler,F165,0,0,0,0,09/02/2016 00:00:00,07/25/2016 00:00:00,315,316,AZ,,Brown Rd Wtr Treatmnt Plant Pump Stn Surge Mitigation,Construction,Design Bid Build (DBB),0,,
Master On-Call 2020-2023 Mechanical Engineering - Bridgers & Paxton,MA-F165-21000046,Approved,Design Professional Master Contract,VS0000001802,MA,,Albuquerque,F165,1000000,53244,0,946756,,,0,0,NM,,,Professional Service,NA,0,,
M99-2022-023 55 N. Office Remodel-GH2 Architects,DO-F165-22008906,Approved,Project Order,VS0000011617,DO,102 - Design,Tulsa,F165,3240,0,0,3240,05/04/2022 00:00:00,05/04/2022 00:00:00,60,61,OK,MA-F165-21000159R1,"55 N Center 2nd Floor Office Remodel, 55 N Center 2nd Floor Office Remodel - FUNDING ONLY",Professional Service,NA,0,,
CP0770HVAC MFAC HVAC System Replacement Rider Levett Bucknall Project Order,DO-F165-20003440,Approved,Project Order,VS0000007610,DO,102 - Design,Phoenix,F165,6200,0,0,6200,10/29/2019 00:00:00,10/29/2019 00:00:00,0,0,AZ,MA-F165-18000136R1,"HVAC Improvments at MFAC, MFAC HVAC and Roof Replacement  FUNDING ONLY",Professional Service,NA,0,,
CP0487BPZG Brimhall Aquatic Facility Deck Gutter Replacment CALIENTE,DO-F165-16004898,Approved,Job Order,VS0000000709,DO,104 - Construction,Tempe,F165,79989.4,0,0,79989.4,12/17/2015 00:00:00,12/16/2015 00:00:00,60,0,AZ,MA-F165-15000199R1,Engineering Park Pool Improvements BRM POOL GTRS,Construction,Job Order Contracting (JOC),67868.23,,
Master On-Call 2016: Mechanical Engineering - Pearson,MA-F165-17000058,Closed,Design Professional Master Contract,VS0000001699,MA,102 - Design,Phoenix,F165,1000000,129310,0,870690,,08/23/2016 00:00:00,0,0,AZ,,,Professional Service,NA,0,,
JOC-W17 Water/Wastewater JOC Master Contract - 2nd Year - PCL Construction,MA-F165-18000006R1,Approved,Job Order Master,VS0000000927,MA,104 - Construction,Tempe,F165,10000000,494364.68,0,9505635.32,07/01/2018 00:00:00,07/04/2018 00:00:00,365,366,AZ,,,Construction,Job Order Contracting (JOC),0,,
CP0658/CP0105 Baseline Road Improvements (24th Street to Consolidated Canal) AND Val Vista Drive Improvements (Baseline Road to US60),CT-f165-19000077,Approved,Construction Services Contract for Design-Bid-Build Projects,CNV462756,CT,104 - Construction,Tempe,F165,6158642.9,0,0,6158642.9,11/28/2018 00:00:00,11/19/2018 00:00:00,420,421,AZ,,"Baseline Rd Improvements 24th St to Consolidated Canal Master, Baseline RD Improvements 24th St to Consolodated canal - FUNDING ONLY, Val Vista Baseline to Superstition Arterial Roadway Improvement, Val Vista Improvements-ADOT eligible costs, Val Vista-Baseline to Superstition Fwy-Arterial Rdwy Imp FUNDING ONLY, Val Vista-Baseline to US60 - GAS FUNDING ONLY",Construction,Design Bid Build (DBB),0,,
LF0033CRIS Crismon Road Rehabilitation Talis Job Order,DO-F165-18004613,Approved,Job Order,CNV570044,DO,104 - Construction,Mesa,F165,182801.73,0,0,182801.73,,12/19/2017 00:00:00,45,0,AZ,MA-F165-16000375R1,"Street Overlay Crismon Rd-Funding only, Street Overlay Crismon Road",Construction,Job Order Contracting (JOC),182802.26,,
LF0074RMIX BRWTP Rapid Mixer 1A & 2A Repl PCL Construction,DO-F165-14009877,Approved,Job Order,VS0000000927,DO,104 - Construction,Tempe,F165,147549,0,0,147549,05/30/2014 00:00:00,,156,0,AZ,MA-F165-14000499R1,Brown Road Water Treatment Plant Rapid Mixer Replacements,Construction,Job Order Contracting (JOC),145649,,
Master - ON-CALL RENEWAL - Materials Testing Services - AMEC FOSTER WHEELER,MA-F165-14000434Y3,Closed,Design Professional Master Contract,CNV339393,MA,102 - Design,Chicago,F165,250000,0,0,250000,12/02/2015 00:00:00,,,0,IL,,,Professional Service,,250000,,
CP0576 Service Access to Sloan Park Drainage Sump,DO-F165-18002233,Approved,Job Order,CNV570044,DO,104 - Construction,Tempe,F165,149885.32,0,0,149885.32,10/02/2017 00:00:00,09/18/2017 00:00:00,60,61,AZ,MA-F165-16000377R1,Sloan Park Plunge Pool,Construction,Job Order Contracting (JOC),0,,
Transportation Master On-Call - Strand & Associates,MA-F165-210000116R2,Approved,Design Professional Master Contract,VS0000000886,MA,102 - Design,Phoenix,F165,1000000,0,0,1000000,10/21/2022 00:00:00,10/21/2022 00:00:00,365,366,AZ,,,Professional Service,NA,0,,
Master On-Call 2016: Electrical Engineering UTILITY Design - Vanderweil,MA-F165-17000167,Closed,Design Professional Master Contract,VS0000004891,MA,102 - Design,Litchfeild Park,F165,1000000,19000,0,981000,11/14/2016 00:00:00,,0,0,AZ,,,Professional Service,NA,0,,
CP0747 MFAC INTERVIEW SUITE SOUND ATTENUATION UPGRADES Architekton,DO-F165-18004458,Approved,Project Order,CNV498629,DO,102 - Design,Tempe,F165,14900,0,0,14900,,12/19/2017 00:00:00,316,0,AZ,MA-F165-17000198,"Advocacy Center Interview Suite Sound Attenuation Upgrades - FUNDING ONLY, Advocacy Center Interview Suite Sound Attenuation Upgrades Master",Professional Service,NA,9837.5,,
CP0299HRMY Irrigation System Improvements at Harmony Park,DO-F165-16007628,Approved,Job Order,MAR222550210,DO,104 - Construction,Tempe,F920,0,0,0,0,,03/23/2016 00:00:00,,0,AZ,MA-F165-14000392R2,Harmony Park Irrigation System Improvements,Construction,Job Order Contracting (JOC),0,,
TEST CONTRACT,MA-F165-TEST789,Approved,Design Professional Services Contract,ALL STAR SPORTS LLC,MA,,Acworth,F165,250000,0,0,250000,,,0,0,GA,,TEST PROJECT FOR VARIOUS WORKFLOWS,Professional Service,NA,0,,
LF0033H05B Residential Street Mill & Overlay H05B / Talis / JOC,DO-F165-19003960,Approved,Job Order,CNV570044,DO,104 - Construction,Mesa,F165,166625.49,0,0,166625.49,,11/13/2018 00:00:00,56,0,AZ,MA-F165-16000375R2,"Residential Streets Overlay H05B, Residential Streets Overlay H05B-Funding only",Construction,Job Order Contracting (JOC),166625.49,,
CP0203 SEWRP Grit Removal Facilities Archer Western,CT-F165-16000053,Approved,Construction Services Contract for Design-Bid-Build Projects,CNV41076,CT,104 - Construction,Phoenix,F165,3431446.78,0,0,3431446.78,10/07/2015 00:00:00,09/14/2015 00:00:00,365,389,AZ,,SEWRP Grit Removal Facilities,Construction,Design Bid Build (DBB),0,,
CP0952NW05 NWWRP Settlement Mitigation - Garney Job Order,DO-F165-22001541,Approved,Job Order,CNV390275,DO,104 - Construction,North Kansas City,F165,267063.98,0,0,267063.98,11/22/2021 00:00:00,08/30/2021 00:00:00,60,61,MO,MA-F165-19003238R2,"NWWRP Plant Improvements NW05 - FUNDING ONLY, NWWRP Settlement Mitigation",Construction,Job Order Contracting (JOC),267063.98,,
Master On-Call 2018 RENEWAL: Cost Engineering Services - Abacus,MA-F165-18000134R1,Approved,Design Professional Master Contract,VS0000004792,MA,102 - Design,Phoenix,F165,1000000,0,0,1000000,,,0,0,AZ,,,Professional Service,NA,0,,
CP0213 Historic Post Office ForeSite Design and Construction - Preconstruction Services,CT-F165-21000063,Approved,CMAR Pre-Construction Services Contract,VS0000008990,CT,102 - Design,Gilbert,F165,75843,0,0,75843,01/28/2021 00:00:00,01/28/2021 00:00:00,270,271,AZ,,"Federal Building Remodel (FUNDING ONLY), The Post (Federal Building Remodel)",Construction,Construction Manager at Risk (CMAR),0,,
CP0096CAP PSTF - Burn Facility Expansion,DO-F165-15002019,Approved,Project Order,CNV694509,DO,104 - Construction,Phoenix,F165,191956.17,0,0,191956.17,,,,0,AZ,MA-F165-14000089,PSTF - Burn Facility Expansion,Professional Service,,179508.95,,
CP0092CAP Fiber Network Exp Seg 2 & Fiber Optic Cable Purchase B&F,DO-F165-15010712,Approved,Job Order,CNV668524,DO,104 - Construction,Phoenix,F165,728477.9,0,0,728477.9,07/06/2015 00:00:00,05/28/2015 00:00:00,98,99,AZ,MA-F165-14000391R1,Fiber to Radio Network Backbone Sites,Construction,Job Order Contracting (JOC),728477.9,,
Master ON-CALL RENEWAL - Materials Testing Service - Quality Testing LLC,MA-F165-14000435Y3,Closed,Design Professional Master Contract,VS0000002738,MA,102 - Design,Phoenix,F165,100000,0,0,100000,12/02/2015 00:00:00,,,0,AZ,,,Professional Service,,100000,,
TEST WORKFLOWS,DO-F165-060619TEST,Approved,Job Order,ALL STAR SPORTS LLC,DO,,Acworth,F165,300000,0,0,300000,,,0,0,GA,MA-F165-TEST456,TEST PROJECT FOR VARIOUS WORKFLOWS,Construction,Job Order Contracting (JOC),0,,
LF0033F05A Residential Street Overlay Project Quarter Section F05A Harris and McKellips,DO-F165-16007453,Approved,Job Order,CNV570044,DO,104 - Construction,Tempe,F920,828198.79,0,0,828198.79,04/07/2016 00:00:00,03/31/2016 00:00:00,90,0,AZ,MA-F165-13000770Y4,Residential Overlay-Asphalt Only,Construction,Job Order Contracting (JOC),856592.62,,
CP0534-0007 Artspace Mesa Commercial Design Vanderweil,DO-F165-18000052,Approved,Project Order,VS0000004891,DO,102 - Design,Boston,F165,19000,0,0,19000,,05/19/2017 00:00:00,365,0,MA,MA-F165-17000167,"Electric New Service POM 0007-Funding Only, Electric New Services POM",Professional Service,NA,19000,,
Val Vista Transmission Main - Phase 2  C10597-2  Garney Companies,CT-F165-92000134,Closed,CMAR Construction Services Contract,CNV390275,CT,104 - Construction,Kansas City,F165,15237196.29,0,0,15237196.29,,,,0,MO,,Val Vista Transmission Mains Phase II,Construction,Construction Manager at Risk (CMAR),0,,
CP0302BRC Broadway Recreation Center Floor Repairs - Caliente,DO-F165-15008880,Approved,Job Order,VS0000000709,DO,104 - Construction,Tempe,F165,308975.17,0,0,308975.17,04/06/2015 00:00:00,,60,0,AZ,MA-F165-15000199,BRC Flood Floor Repair,Construction,Job Order Contracting (JOC),308975.17,,
"CP0077 Power Rd 4-Inch PE Gas Main Extension, Indigo St to McKellips Rd  Michael Baker International",DO-F165-16007292,Approved,Project Order,VS0000003462,DO,102 - Design,Pittsburgh,F165,45175,0,0,45175,,03/10/2016 00:00:00,0,0,PA,MA-F165-15000172R1,"Power Road and Brown Road Cross-Tie, Power Road and Brown Road Cross-Tie Funding Only",Professional Service,,35215.73,,
2020-2023 Construction Administration and Inspection Services On-Call Entellus,MA-F165-21000175,Approved,Design Professional Master Contract,CNV211745,MA,,Phoenix,F165,250000,250000,0,0,,03/01/2021 00:00:00,0,0,AZ,,,Professional Service,NA,0,,
LF0033H06B Residential Street Overlay H06B-Asphalt / Talis,DO-F165-18007082,Approved,Job Order,CNV570044,DO,104 - Construction,Mesa,F165,813126.69,0,0,813126.69,,03/15/2018 00:00:00,120,0,AZ,MA-F165-16000375R1,"Overlay Residential Streets H06B Asphalt, Overlay Residential Streets H06B Asphalt-funding only",Construction,Job Order Contracting (JOC),813126.69,,
Master On-Call 2018: Construction Administration & Inspection Services - CEI,MA-F165-19000203,Closed,Design Professional Master Contract,VS0000001251,MA,102 - Design,Phoenix,F165,250000,0,0,250000,01/16/2019 00:00:00,,0,0,AZ,,On-Call Inspections Consultant Engineering Inc. (CEI),Professional Service,NA,0,,
Master On-Call 2020-2023 Electric Utility T&D - Kimley-Horn,MA-F165_21000184,Approved,Design Professional Master Contract,CNV445118,MA,,Denver,F165,1000000,0,0,1000000,,01/27/2021 00:00:00,0,0,CO,,,Professional Service,NA,0,,
14000037,MA-F165-14000037,Approved,Design Professional Master Contract,CNV49956,MA,,Phoenix,F165,1000000,0,0,1000000,11/13/2012 00:00:00,06/10/2014 00:00:00,,0,AZ,,,Professional Service,,1000000,,
CP0967DS01 Baseline Road Manhole and Diversion Structure Rehabilitation PEC Project Order,DO-F165-20003189,Approved,Project Order,CNV578495,DO,102 - Design,Phoenix,F165,99314.62,0,0,99314.62,,01/14/2020 00:00:00,0,0,AZ,MA-F165-19000083R1,"Baseline Road Manhole and Diversion Structure Rehabilitation, Baseline Road Manhole and Diversion Structure Rehabilitation - FUNDING ONLY",Professional Service,NA,79447.62,,
LF0281D05B Residential Street Overlay D05B Talis Job Order,DO-F165-19008963 (19006296-OLD),Approved,Job Order,CNV570044,DO,104 - Construction,Mesa,F165,548807.07,0,0,548807.07,02/25/2019 00:00:00,02/11/2019 00:00:00,180,181,AZ,MA-F165-16000375R2,"Overlay - McLellan &amp; Country Club - Funding Only, Street Overlay Program",Construction,Job Order Contracting (JOC),0,,
CP04810018 Gas Service Line for Sierra Vista LDS Church B&F Contracting Inc,DO-F165-16006915,Approved,Job Order,CNV668524,DO,104 - Construction,Phoenix,F165,15031.48,0,0,15031.48,,03/01/2016 00:00:00,,0,AZ,MA-F165-14000391R2,Gas Service Line for Sierra Vista LDS Church,Construction,Job Order Contracting (JOC),15031.48,,
"LF0495M08A, B & L Residential Streets Overlay Broadway and Power Nesbitt Contracting Company Job Order",DO-F165-22003755,Approved,Job Order,CNV462756,DO,120 - Direct Expenses,Tempe,F165,1093666.45,0,0,1093666.45,01/24/2022 00:00:00,11/22/2021 00:00:00,180,181,AZ,MA-F165-19003185R2,"Overlay Collector Streets – M08BA/BB, Overlay Collector Streets – M08BA/BB - FUNDING ONLY, Overlay Residential Streets M08A, Overlay Residential Streets M08A - FUNDING ONLY, Overlay Residential Streets M08B, Overlay Residential Streets M08B - FUNDING ONLY",Construction,Job Order Contracting (JOC),1093666.45,,
CP0623R002 Sewer Access Improvements – McKellips and 94th St Hunter Contracting Job Order,DO-F165-23002611,Approved,Job Order,CNV318752,DO,104 - Construction,Gilbert,F165,155271.71,0,0,155271.71,11/10/2022 00:00:00,10/24/2022 00:00:00,94,95,AZ,MA-F165-23000021,"Sewer Access Improvements – 94th St. and McKellips, Sewer Access Improvements – McKellips and 94th St. - FUNDING ONLY",Construction,Job Order Contracting (JOC),0,,
14000294,MA-F165-14000294,Approved,Design Professional Master Contract,VS0000001795,MA,,Phoenix,F165,1000000,0,0,1000000,07/09/2013 00:00:00,06/10/2014 00:00:00,,0,AZ,,,Professional Service,,1000000,,
CP0844 Southern Avenue and Country Club Drive Roadway Improvements - Entellus Design Conract,CT-F165-23000005,Approved,Design Professional Services Contract,CNV211745,CT,102 - Design,Phoenix,F165,1914405.13,0,0,1914405.13,03/29/2022 00:00:00,03/29/2022 00:00:00,0,0,AZ,,"Southern Avenue &amp; Country Club Drive Roadway Improvements, Southern Avenue &amp; Country Club Drive Roadways - FUNDING ONLY, Southern Avenue &amp; Country Club Drive Roadways (ELC) - FUNDING ONLY, Southern Avenue &amp; Country Club Drive Roadways (GAS) - FUNDING ONLY, Southern Avenue &amp; Country Club Drive Roadways (STR) - FUNDING ONLY, Southern Avenue &amp; Country Club Drive Roadways (WTR) - FUNDING ONLY, Southern Avenue &amp; Country Club Drive Roadways (WW) - FUNDING ONLY",Professional Service,NA,0,,
CP0381 SEWRP Invent Mixer Installation Ph II  Felix,DO-F165-16004793,Approved,Job Order,CNV159034,DO,104 - Construction,Coolidge,F165,358269.26,0,0,358269.26,02/16/2016 00:00:00,,119,791,AZ,MA-F165-14000500R1,Filter Repair Project at SEWRP,Construction,Job Order Contracting (JOC),253626.33,,
CP1019 Public Safety Training Facility Burn Building - CORE Construction - CMAR Contract,CT-F165-22000006,Approved,CMAR Construction Services Contract,VS0000002305,CT,104 - Construction,Phoenix,F165,2676074.74,0,0,2676074.74,07/26/2021 00:00:00,07/09/2021 00:00:00,420,421,AZ,,"2020 Public Safety Training Facility Burn Building, 2020 Public Safety Training Facility Burn Building - FUNDING ONLY",Construction,Construction Manager at Risk (CMAR),0,,
14000186,MA-F165-14000186,Approved,Design Professional Master Contract,CNV668257,MA,,Mesa,F165,1000000,0,0,1000000,07/09/2012 00:00:00,06/10/2014 00:00:00,,0,AZ,,,Professional Service,,1000000,,
C10478MIS NWWRP Misc Improvements Hunter Contracting CMAR Contract,CT-F165-18000079,Approved,CMAR Construction Services Contract,CNV318752,CT,104 - Construction,Gilbert,F165,2513288.3,0,0,2513288.3,06/04/2018 00:00:00,05/21/2018 00:00:00,510,752,AZ,,NWWRP - Misc. Improvements 2015,Construction,Construction Manager at Risk (CMAR),0,,
CP0366/CP0557 HORNE DRAINAGE & UTLITY IMPROVEMENTS - Haydon,CT-F165-19000049,Approved,CMAR Pre-Construction Services Contract,CNV527408,CT,102 - Design,Phoenix,F165,24960,0,0,24960,07/17/2018 00:00:00,07/17/2018 00:00:00,150,151,AZ,,"Gasline Replacement Horne, Horne Rd Storm Drain Phase 2, Horne Storm Drain Phase 2-Funding only, Waterline Replacement Horne, Waterline Replacement Horne ELC - Funding Only, Waterline Replacement Horne Master, Waterline Replacement Horne WW - Funding Only",Construction,Construction Manager at Risk (CMAR),0,,
CP0781 Downtown Facade Improvements Rytan DBB Contract,CT-F165-19000070,Approved,Construction Services Contract for Design-Bid-Build Projects,VS0000012098,CT,104 - Construction,Scottsdale,F165,745183.08,0,0,745183.08,11/14/2018 00:00:00,10/10/2018 00:00:00,120,181,AZ,,"Downtown Mesa Facade Grant Design-Funding only, Downtown Mesa Facade Improvements",Construction,Design Bid Build (DBB),0,,
CP0823BR05 BRWTP Sodium Chlorite and Chlorine Dioxide Generator Rehab - Archer Western,DO-F165-22006976,Approved,Job Order,CNV41076,DO,104 - Construction,Phoenix,F165,1129926.86,0,0,1129926.86,03/18/2022 00:00:00,,150,151,AZ,MA-F165-21000036R1,"BRWTP Sodium Chlorite &amp; Chlorine Dioxide Generator Rehab, BRWTP Sodium Chlorite &amp; Chlorine Dioxide Generator Rehab - FUNDING ONLY",Construction,Job Order Contracting (JOC),1129926.86,,
CP0520GATE GANTZEL ROAD QUEEN CREEK GATE STATION/EPS Group Inc,CT-F165-21000066,Approved,Design Professional Services Contract,CNV668257,CT,102 - Design,Mesa,F165,227325,0,0,227325,12/14/2020 00:00:00,12/14/2020 00:00:00,0,0,AZ,,"Gantzel Road Queen Creek Gate Station - FUNDING ONLY, Queen Creek Gate Station and High Pressure Gas Line Extension",Professional Service,NA,0,,
Master On-Call 2020-2023 EICIT - Quantum Integrated Solutions,MA-F165-20000229,Approved,Design Professional Master Contract,CNV109797,MA,102 - Design,Tempe,F165,1000000,0,0,1000000,,03/26/2020 00:00:00,0,0,AZ,,,Professional Service,NA,1000000,,
14000233,MA-F165-14000233,Approved,Design Professional Master Contract,VC0000013328,MA,,Phoenix,F165,1000000,0,0,1000000,12/22/2012 00:00:00,06/10/2014 00:00:00,,0,AZ,,,Professional Service,,1000000,,
LF0330WSH Washington Park Playground Improvements Valley Rain Job Order,DO-F165-20005643,Closed,Job Order,MAR222550210,DO,104 - Construction,Tempe,F165,189300.3,0,0,189300.3,02/10/2020 00:00:00,01/29/2020 00:00:00,175,176,AZ,MA-F165-20000015,"Washington Park Playground Replacement (Multi funded LF0329STP &amp; LF0328JEF), Washington Park Playground Replacement (Multi funded LF0330WSH &amp; LF0328JEF) - FUNDING ONLY",Construction,Job Order Contracting (JOC),189300.3,,
CP0630-0005 SEWRP Fiber Loop Jensen Engineering Project Order,DO-F165-20000056,Approved,Project Order,CNV385395,DO,102 - Design,Cave Creek,F165,15427.5,0,0,15427.5,07/15/2019 00:00:00,07/15/2019 00:00:00,90,91,AZ,MA-F165-19000132,"SEWRP Fiber Optic Loop, SEWRP Fiber Optic Loop - Funding Only",Professional Service,NA,12870,,
LF0199HV72 72nd St. & Hermosa Vista Dr. Speed Cushions / TALIS,DO-F165-19095691,Approved,Job Order,CNV570044,DO,104 - Construction,Mesa,F165,66861.6,0,0,66861.6,07/15/2019 00:00:00,07/02/2019 00:00:00,90,91,AZ,MA-F165-19003186,"Hermosa Vista and 72nd St Speed Cushions, Hermosa Vista and 72nd St Speed Cushions - FUNDING ONLY",Construction,Job Order Contracting (JOC),66861.6,,
Master On-Call: Architectural Projects - Perlman Architects,MA-F165-15000245,Closed,Design Professional Master Contract,CNV49956,MA,102 - Design,Phoenix,F165,1000000,256236.6,0,743763.4,12/01/2014 00:00:00,,,0,AZ,,,Professional Service,,1000000,,
CP0586MLHI Traffic Signal and Roadway Improvements – Higley and McLellan Nesbitt Contracting Job Order,DO-F165-21007323,Approved,Job Order,CNV462756,DO,104 - Construction,Tempe,F165,265573.1,0,0,265573.1,05/03/2021 00:00:00,04/22/2021 00:00:00,90,158,AZ,MA-F165-19003185R1,"Traffic Signal - Higley/McLellan, Traffic Signal Higley/McLellan - FUNDING ONLY",Construction,Job Order Contracting (JOC),290888,,
